name,id,minutes,contributor_id,submitted,n_steps,description,n_ingredients
bow tiezanga,262691,55,272100,2007-10-31,8.0,this is my quick way of doing a large lasagna good and cheesy.,7.0
bowl of the wife of kit carson,110865,20,97825,2005-02-10,6.0,"found this while searching for another recipe at cooks.com, the name caught my eye, although i have no idea what the origin is. i have some leftover chicken i need to use up and all the other ingredients on hand so will be trying this for supper tomorrow night.",10.0
box pudding cake,109156,100,165263,2005-01-22,,"this wonderful and easy recipe was given to me by a friend. it can become a completely different cake each time you make it, by using different flavors of cake mix & pudding. cooking time includes refrigeration time.",
boxcar willie s dinner,36355,95,23302,2002-08-05,2.0,what do you call a hooker's boy friend? - a ho beau!,7.0
boyfriend chili,99352,50,161660,2004-09-07,7.0,"i found this recipe on another site, adjusted it a bit and made it for my boyfriend. he makes incredible chili (expensive and it takes all day to make!) but when i served this to him he kept eating until it was gone! and then asked when i was going to make it again!",
boysenberry cobbler,341954,50,337963,2008-12-05,8.0,"my grandparents had what seemed like a mile of boysenberries vines, and i never minded the scratches from picking them 'cause they were so good.  one of my favorite memories is the summer my granddaddy wrote girls'nberries on each jar we canned.  this isn't my grandmother's special recipe i learned as a child, but it's nice since it uses canned berries...fresh boysenberries are so hard to come by anymore.  adapted from a recipe i saw on mom's cooking.  by the way, i have halved the recipe in a smaller pan and it worked out fine.",
braciola  braciole  with tomato and wine sauce,30014,150,41531,2002-05-31,,"i cut this recipe out of the newspaper years ago. it is terrific, and i have never seen this recipe anywhere else.",
braciole  stuffed beef rolls in tomato sauce,240874,140,521430,2007-07-16,16.0,from the sopranos family cookbook. yummy!! makes your kitchen smell fabulous. i serve this with a big green salad and crusty garlic bread.,12.0
brad s bar b q beef,128553,425,204116,2005-07-03,,i found this at http:\www.oldetimecooking.com a while back. i finally got around to trying this last week. it's a keeper. the my two teenagers even ate leftovers omg! i had mine over a large baked potato. they the kiddos and dw had it on buns.,2.0
brady bunch pork chops,73062,132,20371,2003-10-10,15.0,"i think this recipe is an absolute gem. really, in all my years of cooking, i don't think i have ever made chops as delectable as these! crispy-crunchy on the outside, meltingly tender and moist on the inside. the key, i think, is the salty milk marinade/brine, and making sure not to overcook them. thanks to gourmet magazine for this one.",
braised and barbecued chicken thighs,77031,65,58300,2003-11-20,8.0,this recipe was in my southern living 2003 annual cookbook. i am posting it for a request for thighs. this is melt in your mouth good. i am amazed at how well it turned out. delicious!!!,13.0
braised asian ribs,59276,105,52282,2003-04-12,9.0,these are just wonderful tender ribs with great flavor. we like this with stir fried rice or lo mein.,
braised beef liver,54945,80,26278,2003-02-26,11.0,this recipe takes awhile but is sooo good.,10.0
braised beef liver and onions,235666,25,57275,2007-06-19,5.0,a very inexpensive and healthy main dish.  even people who are not fond of liver will eat it cooked this way.  especially good when sweet vidalia onions are in season.  we typically serve with macaroni and cheese and spinach for added iron.,8.0
braised beef roll  csaky  style,17594,65,28460,2002-01-20,24.0,"this dish combines the favorite flavors of hungarian scrambled eggs with bacon, onion and peppers (an eastern western omlette) with a wine-braised pot roast and the ubiquitous sour cream.",12.0
braised beef shanks,413850,150,31807,2010-02-20,,"this is a variation on a classical osso bucco preparation, using beef instead of veal. inspired by a recipe in judith jones' ""the pleasures of cooking for one."" risotto would be a reasonably traditional accompaniment.",14.0
braised beef short ribs,414038,155,956207,2010-02-22,17.0,these dutch oven ribs are so delicious. got this from rachael ray magazine.,8.0
braised beef stew,77020,120,89831,2003-11-20,,"all ingredient amount may be adjusted to taste, the balsamic vinegar is only optional.",18.0
braised cauliflower with bacon,534393,85,1271506,2017-11-14,,"we saw lidia bastianich cook this on createtv this morning and had to try it!  i had to guess-timate some of the times/amounts, but as she said, ""you want to adjust the amounts based on the size of your cauliflower!""  easy and so tasty -- could be either a side dish or an entree.",8.0
braised chicken thighs with button mushrooms,283649,70,383346,2008-02-03,,this is a recipe from emeril lagasse from food network.,20.0
braised chicken with lemon and honey,138106,60,157425,2005-09-20,10.0,"another great recipe from abc.net's website and chef bill granger. this chicken recipe will also be included in the zaar world tour 2005 swap, australia.",8.0
braised coconut cabbage,305021,35,37636,2008-05-27,4.0,"an interesting tanzanian side dish, from the african cookbook by bea sandler. posted for zwt4.",4.0
braised cucumbers,300279,17,487548,2008-04-23,,a bit of a different vegetable,3.0
braised fennel and onion pasta sauce,23929,40,4470,2002-03-29,12.0,fennel is a delightful veggie tasting like licorice. if you use this over pasta you may want to thin it a bit with a bit of the pasta water. it is equally lovely as a side dish,
braised fennel with parmesan,392692,50,182010,2009-10-01,,"via deborah madison, a very simple and quite delicious treatment of fennel which is a wonderful accompaniment to pork or grilled fish.",
braised flank steak,25380,50,1533,2002-04-16,9.0,,
braised garlic chicken and spinach,376143,55,118840,2009-06-08,18.0,"we eat a lot of chicken thighs, because they're flavorful and inexpensive.  this recipe comes from eatchicken.com.",
braised ginger pork,259288,40,107583,2007-10-16,16.0,"a nice asian dish.  serve over hot rice or chinese noodles.  as per a suggestion from --nimz--, if you like a little heat, add some red pepper flakes.",11.0
braised kale  potatoes and mushrooms,296498,15,283251,2008-04-04,,vegetarian times.,8.0
braised lamb shanks in orange merlot sauce  passover,222119,240,207176,2007-04-12,,"from reform judaism magazine, spring 2007.  ""since leg of lamb is technically not kosher (because the sciatic nerve runs through it), lamb shanks are the meat of choice when you want a flavorful lamb dish on your seder table.  slowly braising the shanks in an aromatic liquid flavored with kosher wine yields a moist, tender, fall-off-the-bone delicacy"".  this requires at least 2 hours (to overnight) marination. fyi-in israel, and in some other parts of the world, the sciatic nerve is removed from the leg of lamb by butchers thus making it kosher! it is not kosher in the united states.",12.0
braised lamb shanks with garlic and rosemary  crock pot,183334,730,333017,2006-08-27,,"the smells coming from this dish are divine.  by preparing this the night before, it makes dinnertime a snap, i just add a salad and some bread to soak up the juices.",10.0
braised leeks and mushrooms,25865,32,28533,2002-04-22,,,8.0
braised leg of veal with paprikas sauce,233117,90,65720,2007-06-07,23.0,"this is a really special entree, perfect for a holiday dinner.serve the gently flavored sour cream sauce over spaetzle or buttered noodles with poppy seeds.from a 1987 bon appetit that featured a menu and recipes for a fantasy yuletide in old vienna.you may also use a 3 1/2 pound veal leg, boned and tied, instead of the veal shoulder.",15.0
braised monkfish nicoise,291623,40,55392,2008-03-13,17.0,i made this recipe years ago and it is very nice and savory. it's excellent with rice or mashed potatoes. if the olives have pits you can smash then to remove pits.,
braised onions a la julia child,148656,60,182010,2005-12-18,7.0,"these onions are included in the recipe for boeuf bourguignon, but they are so wonderful, that they deserve to be posted on their own.  i think they are best with fresh pearl onions, but frozen are a fine substitute.  you do need to use good stock though (julia's beef stock is posted at #147999)  honestly, these are so delicious that i have a hard time not eating them before the meal is served. prep time does not include peeling the onions (the hardest part of this).",8.0
braised pears in red wine,55300,130,58931,2003-03-01,,this is a show-stopper dessert from the mediterranean vegan kitchen. it's easy to make and your guests will feel very special. i used a california cabernet and these were delicious.,6.0
