,name,preprocessed_descriptions
1192,asiago scones,adapted from a rachael ray recipe  my kids really liked these drizzled with honey i liked them fine with a little melted margarine
1193,asiago sun dried tomato pasta,from allrecipescom  i cant wait to try this
1194,asiago  apple and rosemary bread,for this savory loaf tart apples like gravenstein work well but use what you have and like using your food processor to shred the cold butter asiago cheese and apples in that order will speed things along its not necessary to peel the apples unless you just want to
1195,asian apple pear compote,i had a surplus of apple pears so experimented you could serve this for breakfast with cinnamon toast or put on ice cream with a chocolate sauce or anywhere that you would use stewed fruit you may want to add some sugar when cooking it if you like things sweet
1196,asian baked chicken,from mrs kelley who contributed to the fine arts cookbook ii from the museum of fine arts in boston ma  nice ingredients that you may already have at home
1197,asian barbecue sauce,try this spicy barbecue sauce on chicken legs or brushed on turkey burgers before grilling from eatingwell magazine julyaugust 1997 and posted for zwt6
1198,asian beef bites,this recipe is from a local supermarket
1199,asian beef salad,this is a delicious lowcalorie salad adapted from the slimfast website  you could probably also grill the flank steak if you prefer
1200,asian beef stir fry with snow peas and rice,if you havent tried flank steak in a stirfry then now is the time to try it one word yuuuuuuummmy
1201,asian beef tikka,this is a very popular sort of fast food that is common in pakistan and india its really good for people who love spicy flavors and is simple to make there is no need for an outside grill just use an elecrtic grill like a george foreman and its just as good
1202,asian braised duck legs,i made this last night in my quest for great duck legs recipe courtesy of ming tsai
1203,asian carrot and cabbage noodles,delicious vegetarian noodle dish
1204,asian chicken and rice,asianstyle chicken and vegetable stir fry served over brown rice
1205,asian chicken lettuce wraps,this can be served hot or cold  i enjoy it hot  i also use chopped chicken as i like the texture better  if you do use ground chicken be sure to brown it for a more pleasing color and flavor
1206,asian chicken noodle soup  south beach diet phase 2,from newest book havent tried
1207,asian chicken penne,i like this recipe because it is a great combination of veggies and pasta with a light sauce  it is great served hot or cold  enjoy
1208,asian chicken ravioli with v8 creamy tomato sauce,am proud to saythis recipe makes my daywas masterchef cook off winner of the dayhas boosted my confidence beyond words ok
1209,asian chili garlic sauce,this recipe comes from a popular authentic asian restaurant in san fransisco california this makes a big amount of sauce but it can be scaled down to meet requirements or it will store nicely in the fridge for up to 2 weeks
1210,asian chops,good for two as written or easy to double for company prep time does not include marinade time
1211,asian coconut milk shrimp,from a magazine  has nuts jalpeno cilantrommmmm serve with steamed rice
1212,asian cole slaw with tofu   shiitake mushrooms,to make ahead the marinade will keep covered in the refrigerator for up to 2 days bring to room temperature before using the napa and bok choy can be shredded and kept in plastic storage bags in the refrigerator for up to 2 hours eating well spring 2003
1213,asian cornish game hens,a recipe handed down from my mom  the sauce is great with white rice  i hope you enjoy
1214,asian cucumber slaw,posted for zwt6  asian regions  found on a grocery recipe card located in harris teeter  this is such a refreshing salad and very reasonable on caloric intake
1215,asian fetish,found on a drinks site on the net  i havent made it but i will be as soon as i invest in my next bottle of chambord a cheaper raspberry liqueur would be fine
1216,asian flank steak,this is summer entertaining at its simplest
1217,asian green bean casserole,a new twist on an old favorite i dont generally care for the cream of whatever versions so for rsc 15 i developed my own version with an asian flair inspired by the panko bread crumbs in the ingredient list full of flavor  fresh ingredients
1218,asian green beans,an easy and delicious side cooking time includes refrigeration time
1219,asian grilled chicken campbell s kitchen,swanson broth balances the vinegar and soy in the marinade to create moist grilled chicken that is served with its own light sauce
